Comments,Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth (MCD) (CCSF),Depth comp [mcd] (two-site composite (Depth CCS...),Ca_Area,Ca_Area_corrected,Fe_Area,Fe_Area_corrected,Al_Area,Al_Area_corrected,Al_ DArea,Si_Area,Si_Area_corrected,Si_ DArea,P_Area,P_ DArea,S_Area,S_ DArea,Cl_Area,Cl_Area_corrected,Cl_ DArea,Ar_Area,Ar_ DArea,K_Area,K_Area_corrected,K_ DArea,Ca_ DArea,Ti_Area,Ti_Area_corrected,Ti_ DArea,Cr_Area,Cr_ DArea,Mn_Area,Mn_Area_corrected,Mn_ DArea,Fe_ DArea,Rh_Area,Rh_Area_corrected,Rh_ DArea,Ba_Area,Ba_ DArea
,342,U1408,C,4,H,3,200,,24.5,26.8,27.76,435849,435849,485987,485987,28704,28704,8,336618,336618,19,0,5,5711,7,131311,,17,-18213,11,154984,,17,23,50861,50861,12,836,10,808,,11,24,120828,,18,2967,8
,342,U1408,C,4,H,3,220,,24.52,26.82,27.78,471857,471857,479901,479901,29791,29791,8,334299,334299,19,-434,6,8603,7,131930,,17,-18846,11,158563,,17,24,51703,51703,12,535,10,1276,,11,24,127359,,19,2728,8
,342,U1408,C,4,H,3,240,,24.54,26.84,27.80,524595,524595,479194,479194,29737,29737,8,328888,328888,19,-307,6,5572,7,132420,,17,-18290,11,158359,,17,25,52754,52754,12,340,10,1024,,11,24,123140,,18,2985,8
,342,U1408,C,4,H,3,260,,24.56,26.86,27.82,467632,467632,517723,517723,28221,28221,8,316437,316437,19,-120,6,7182,7,139973,,18,-17751,11,153427,,17,24,52299,52299,12,1156,10,1468,,11,25,130896,,19,2910,8
,342,U1408,C,4,H,3,280,,24.58,26.88,27.84,516273,516273,486587,486587,28049,28049,8,327246,327246,19,-56,6,6628,7,139273,,18,-19623,11,151657,,17,25,50490,50490,12,1083,10,1275,,11,24,129120,,19,2653,8
,342,U1408,C,4,H,3,300,,24.6,26.9,27.86,591220,591220,490475,490475,28920,28920,8,318827,318827,19,-156,6,7014,7,136675,,18,-17852,11,150781,,17,26,49909,49909,12,1279,10,1835,,11,25,123884,,19,3061,8
,342,U1408,C,4,H,3,320,,24.62,26.92,27.88,639987,639987,470767,470767,28333,28333,8,321397,321397,19,-763,6,7126,7,137918,,18,-17137,11,148019,,17,27,48846,48846,12,872,10,1413,,11,24,129864,,19,2769,8
,342,U1408,C,4,H,3,340,,24.64,26.94,27.90,651173,651173,486165,486165,27034,27034,8,301212,301212,18,-531,6,6477,7,140894,,18,-17981,11,146697,,17,28,48139,48139,12,712,10,1139,,11,24,127215,,19,2965,8
,342,U1408,C,4,H,3,360,,24.66,26.96,27.92,600104,600104,512509,512509,23223,23223,7,285318,285318,18,-319,6,9640,7,148929,,18,-17695,11,132313,,16,27,45719,45719,11,1287,10,1005,,11,25,128297,,19,1821,8
,342,U1408,C,4,H,3,380,,24.68,26.98,27.94,585925,585925,504806,504806,22079,22079,7,296471,296471,18,-496,6,6468,7,146245,,18,-15311,11,128203,,16,26,41582,41582,11,813,10,826,,11,25,126659,,19,2453,8
